id,type,student_id,name,features,week_number,course_name
0,student,S0001,林磊,"{'node_type': 0, 'age': 18, 'gender_code': 0, 'major_code': 0, 'academic_performance': np.float64(0.71), 'study_habit_consistency': 0.6428571428571429}",,
1,student,S0002,林军,"{'node_type': 0, 'age': 24, 'gender_code': 0, 'major_code': 4, 'academic_performance': np.float64(0.6477777777777777), 'study_habit_consistency': 0.7472527472527473}",,
2,student,S0003,赵强,"{'node_type': 0, 'age': 20, 'gender_code': 1, 'major_code': 6, 'academic_performance': np.float64(0.6725), 'study_habit_consistency': 0.6578947368421053}",,
3,student,S0004,高军,"{'node_type': 0, 'age': 23, 'gender_code': 1, 'major_code': 5, 'academic_performance': np.float64(0.705), 'study_habit_consistency': 0.6730769230769231}",,
4,student,S0005,黄强,"{'node_type': 0, 'age': 18, 'gender_code': 1, 'major_code': 0, 'academic_performance': np.float64(0.7155555555555556), 'study_habit_consistency': 0.7419354838709677}",,
5,student,S0006,刘洋,"{'node_type': 0, 'age': 24, 'gender_code': 1, 'major_code': 3, 'academic_performance': np.float64(0.7009090909090909), 'study_habit_consistency': 0.7079646017699115}",,
6,student,S0007,林磊,"{'node_type': 0, 'age': 25, 'gender_code': 0, 'major_code': 5, 'academic_performance': np.float64(0.6973333333333334), 'study_habit_consistency': 0.6642857142857143}",,
7,student,S0008,陈涛,"{'node_type': 0, 'age': 24, 'gender_code': 0, 'major_code': 3, 'academic_performance': np.float64(0.6977777777777777), 'study_habit_consistency': 0.7294117647058823}",,
8,student,S0009,黄娟,"{'node_type': 0, 'age': 25, 'gender_code': 1, 'major_code': 4, 'academic_performance': np.float64(0.6858333333333333), 'study_habit_consistency': 0.7058823529411765}",,
9,student,S0010,吴敏,"{'node_type': 0, 'age': 20, 'gender_code': 0, 'major_code': 1, 'academic_performance': np.float64(0.7211111111111111), 'study_habit_consistency': 0.6707317073170732}",,
10,student,S0011,徐勇,"{'node_type': 0, 'age': 23, 'gender_code': 1, 'major_code': 2, 'academic_performance': np.float64(0.7326666666666667), 'study_habit_consistency': 0.6928104575163399}",,
11,student,S0012,黄涛,"{'node_type': 0, 'age': 20, 'gender_code': 0, 'major_code': 7, 'academic_performance': np.float64(0.7), 'study_habit_consistency': 0.7}",,
12,student,S0013,马艳,"{'node_type': 0, 'age': 20, 'gender_code': 0, 'major_code': 2, 'academic_performance': np.float64(0.7241666666666667), 'study_habit_consistency': 0.7314814814814815}",,
13,student,S0014,罗艳,"{'node_type': 0, 'age': 20, 'gender_code': 0, 'major_code': 1, 'academic_performance': np.float64(0.659), 'study_habit_consistency': 0.6862745098039216}",,
14,student,S0015,林秀英,"{'node_type': 0, 'age': 23, 'gender_code': 0, 'major_code': 3, 'academic_performance': np.float64(0.70375), 'study_habit_consistency': 0.7875}",,
15,student,S0016,王丽,"{'node_type': 0, 'age': 18, 'gender_code': 1, 'major_code': 7, 'academic_performance': np.float64(0.69), 'study_habit_consistency': 0.6875}",,
16,student,S0017,高平,"{'node_type': 0, 'age': 20, 'gender_code': 1, 'major_code': 3, 'academic_performance': np.float64(0.64125), 'study_habit_consistency': 0.7195121951219512}",,
17,student,S0018,张伟,"{'node_type': 0, 'age': 23, 'gender_code': 1, 'major_code': 3, 'academic_performance': np.float64(0.75), 'study_habit_consistency': 0.6470588235294118}",,
18,student,S0019,陈敏,"{'node_type': 0, 'age': 24, 'gender_code': 0, 'major_code': 0, 'academic_performance': np.float64(0.7257142857142856), 'study_habit_consistency': 0.704225352112676}",,
19,student,S0020,王伟,"{'node_type': 0, 'age': 22, 'gender_code': 0, 'major_code': 5, 'academic_performance': np.float64(0.7591666666666668), 'study_habit_consistency': 0.7815126050420168}",,
20,student,S0021,张娜,"{'node_type': 0, 'age': 22, 'gender_code': 0, 'major_code': 4, 'academic_performance': np.float64(0.6958333333333333), 'study_habit_consistency': 0.7678571428571429}",,
21,student,S0022,王敏,"{'node_type': 0, 'age': 23, 'gender_code': 0, 'major_code': 0, 'academic_performance': np.float64(0.7040000000000001), 'study_habit_consistency': 0.6509433962264151}",,
22,student,S0023,黄艳,"{'node_type': 0, 'age': 18, 'gender_code': 0, 'major_code': 3, 'academic_performance': np.float64(0.675), 'study_habit_consistency': 0.7662337662337663}",,
23,student,S0024,徐磊,"{'node_type': 0, 'age': 24, 'gender_code': 0, 'major_code': 3, 'academic_performance': np.float64(0.7133333333333333), 'study_habit_consistency': 0.6951219512195121}",,
24,student,S0025,杨艳,"{'node_type': 0, 'age': 20, 'gender_code': 1, 'major_code': 3, 'academic_performance': np.float64(0.7121428571428571), 'study_habit_consistency': 0.6906474820143885}",,
25,student,S0026,刘磊,"{'node_type': 0, 'age': 23, 'gender_code': 1, 'major_code': 4, 'academic_performance': np.float64(0.7275), 'study_habit_consistency': 0.6578947368421053}",,
26,student,S0027,陈洋,"{'node_type': 0, 'age': 23, 'gender_code': 1, 'major_code': 5, 'academic_performance': np.float64(0.6954545454545454), 'study_habit_consistency': 0.6792452830188679}",,
27,student,S0028,杨霞,"{'node_type': 0, 'age': 20, 'gender_code': 0, 'major_code': 0, 'academic_performance': np.float64(0.7522222222222222), 'study_habit_consistency': 0.7126436781609196}",,
28,student,S0029,张娜,"{'node_type': 0, 'age': 19, 'gender_code': 1, 'major_code': 3, 'academic_performance': np.float64(0.6378571428571429), 'study_habit_consistency': 0.6870748299319728}",,
29,student,S0030,胡静,"{'node_type': 0, 'age': 21, 'gender_code': 0, 'major_code': 3, 'academic_performance': np.float64(0.6984615384615384), 'study_habit_consistency': 0.7251908396946565}",,
30,student,S0031,吴洋,"{'node_type': 0, 'age': 19, 'gender_code': 1, 'major_code': 3, 'academic_performance': np.float64(0.7527272727272727), 'study_habit_consistency': 0.6607142857142857}",,
31,student,S0032,高敏,"{'node_type': 0, 'age': 25, 'gender_code': 1, 'major_code': 7, 'academic_performance': np.float64(0.7218181818181819), 'study_habit_consistency': 0.6752136752136753}",,
32,student,S0033,罗敏,"{'node_type': 0, 'age': 22, 'gender_code': 0, 'major_code': 1, 'academic_performance': np.float64(0.6691666666666667), 'study_habit_consistency': 0.6744186046511628}",,
33,student,S0034,周洋,"{'node_type': 0, 'age': 18, 'gender_code': 0, 'major_code': 7, 'academic_performance': np.float64(0.74375), 'study_habit_consistency': 0.8205128205128205}",,
34,student,S0035,何勇,"{'node_type': 0, 'age': 21, 'gender_code': 1, 'major_code': 3, 'academic_performance': np.float64(0.7306666666666666), 'study_habit_consistency': 0.7080745341614907}",,
35,student,S0036,孙芳,"{'node_type': 0, 'age': 23, 'gender_code': 0, 'major_code': 1, 'academic_performance': np.float64(0.6827272727272726), 'study_habit_consistency': 0.6608695652173913}",,
36,student,S0037,徐超,"{'node_type': 0, 'age': 22, 'gender_code': 0, 'major_code': 0, 'academic_performance': np.float64(0.67125), 'study_habit_consistency': 0.6547619047619048}",,
37,student,S0038,杨洋,"{'node_type': 0, 'age': 22, 'gender_code': 1, 'major_code': 5, 'academic_performance': np.float64(0.7185714285714286), 'study_habit_consistency': 0.6575342465753424}",,
38,student,S0039,赵磊,"{'node_type': 0, 'age': 25, 'gender_code': 0, 'major_code': 7, 'academic_performance': np.float64(0.6940000000000001), 'study_habit_consistency': 0.7051282051282052}",,
39,student,S0040,陈涛,"{'node_type': 0, 'age': 25, 'gender_code': 0, 'major_code': 7, 'academic_performance': np.float64(0.6586666666666666), 'study_habit_consistency': 0.6887417218543046}",,
40,student,S0041,马秀英,"{'node_type': 0, 'age': 22, 'gender_code': 1, 'major_code': 5, 'academic_performance': np.float64(0.7345454545454545), 'study_habit_consistency': 0.6880733944954128}",,
41,student,S0042,郭丽,"{'node_type': 0, 'age': 21, 'gender_code': 0, 'major_code': 7, 'academic_performance': np.float64(0.6615384615384616), 'study_habit_consistency': 0.7164179104477612}",,
42,student,S0043,朱军,"{'node_type': 0, 'age': 23, 'gender_code': 0, 'major_code': 4, 'academic_performance': np.float64(0.74875), 'study_habit_consistency': 0.6710526315789473}",,
