学生ID,姓名,风险等级,风险概率,行为模式,风险因素
S0694,赵杰,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0834,徐丽,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0391,陈秀英,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0390,刘涛,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0389,高洋,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0388,陈杰,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0727,吴明,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0386,马洋,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0836,高平,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0837,李涛,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0383,郭军,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0382,杨明,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0381,徐强,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0380,吴娟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多"
S0379,林勇,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多"
S0378,张娜,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0620,马平,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0621,朱军,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0726,陈静,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0363,林军,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0364,罗伟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0843,何霞,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0366,朱静,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多"
S0367,刘强,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多"
S0728,吴磊,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0842,周霞,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0370,吴军,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0371,林芳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0372,徐磊,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0841,何敏,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0374,孙超,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0840,王伟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0369,张磊,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0394,胡超,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0395,周明,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0396,陈平,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0824,高勇,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0614,郭娟,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0822,朱涛,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0613,吴秀英,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0820,王娜,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0819,孙秀英,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0825,郭明,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0818,陈洋,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0423,陈勇,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0424,黄艳,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0425,马杰,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0817,胡涛,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多"
S0816,何娜,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0612,黄明,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0422,李超,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0623,周娜,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0615,孙霞,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0827,周强,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
S0832,郭平,高风险,1.0,高风险行为,"挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多"
