2026-03-19 15:41:22.781729 - individual - 学生ID: S0935, 姓名: 高霞, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 选课数量过多
2026-03-19 15:43:58.401008 - individual - 学生ID: S0935, 姓名: 高霞, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 选课数量过多
2026-03-19 15:44:00.356382 - individual - 学生ID: S0935, 姓名: 高霞, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 选课数量过多
2026-03-19 15:44:01.730609 - individual - 学生ID: S0955, 姓名: 吴静, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-03-19 15:44:02.237348 - individual - 学生ID: S0955, 姓名: 吴静, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-03-19 15:44:02.415568 - individual - 学生ID: S0955, 姓名: 吴静, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-03-19 15:44:02.488580 - individual - 学生ID: S0955, 姓名: 吴静, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-03-19 15:53:11.790038 - individual - 学生ID: S0022, 姓名: 罗秀英, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-03-19 15:56:33.997119 - individual - 学生ID: S0022, 姓名: 罗秀英, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-03-21 18:45:39.078850 - individual - 学生ID: S0948, 姓名: 吴超, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-03-21 18:45:41.070640 - individual - 学生ID: S0948, 姓名: 吴超, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-03-21 18:45:41.578383 - individual - 学生ID: S0948, 姓名: 吴超, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-03-21 18:45:41.729284 - individual - 学生ID: S0948, 姓名: 吴超, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-03-21 18:45:41.888317 - individual - 学生ID: S0948, 姓名: 吴超, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-03-21 18:45:42.025183 - individual - 学生ID: S0948, 姓名: 吴超, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-03-21 18:45:42.190559 - individual - 学生ID: S0948, 姓名: 吴超, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-04-08 18:21:32.469351 - batch - 学生ID: S0694, 姓名: 赵杰, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-04-08 18:21:32.473429 - batch - 学生ID: S0834, 姓名: 徐丽, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-04-08 18:21:32.474802 - batch - 学生ID: S0391, 姓名: 陈秀英, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-04-08 18:21:32.476134 - batch - 学生ID: S0390, 姓名: 刘涛, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-04-08 18:21:32.477461 - batch - 学生ID: S0389, 姓名: 高洋, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-04-08 18:21:32.478676 - batch - 学生ID: S0388, 姓名: 陈杰, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-04-08 18:21:32.479904 - batch - 学生ID: S0727, 姓名: 吴明, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-04-08 18:21:32.481213 - batch - 学生ID: S0386, 姓名: 马洋, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-04-08 18:21:32.482605 - batch - 学生ID: S0836, 姓名: 高平, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-04-08 18:21:32.483852 - batch - 学生ID: S0837, 姓名: 李涛, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-04-08 18:23:08.513598 - batch - 学生ID: S0694, 姓名: 赵杰, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-04-08 18:23:08.514938 - batch - 学生ID: S0834, 姓名: 徐丽, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-04-08 18:23:08.516104 - batch - 学生ID: S0391, 姓名: 陈秀英, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-04-08 18:23:08.517301 - batch - 学生ID: S0390, 姓名: 刘涛, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-04-08 18:23:08.518534 - batch - 学生ID: S0389, 姓名: 高洋, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-04-08 18:23:08.519887 - batch - 学生ID: S0388, 姓名: 陈杰, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-04-08 18:23:08.521055 - batch - 学生ID: S0727, 姓名: 吴明, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-04-08 18:23:08.522879 - batch - 学生ID: S0386, 姓名: 马洋, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-04-08 18:23:08.524158 - batch - 学生ID: S0836, 姓名: 高平, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-04-08 18:23:08.525205 - batch - 学生ID: S0837, 姓名: 李涛, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-04-08 18:23:21.617772 - individual - 学生ID: S0830, 姓名: 郭敏, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-04-08 18:23:24.156944 - individual - 学生ID: S0830, 姓名: 郭敏, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-04-08 18:26:33.140366 - batch - 学生ID: S0694, 姓名: 赵杰, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-04-08 18:26:33.142934 - batch - 学生ID: S0834, 姓名: 徐丽, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-04-08 18:26:33.144375 - batch - 学生ID: S0391, 姓名: 陈秀英, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-04-08 18:26:33.145752 - batch - 学生ID: S0390, 姓名: 刘涛, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-04-08 18:26:33.147076 - batch - 学生ID: S0389, 姓名: 高洋, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-04-08 18:26:33.148312 - batch - 学生ID: S0388, 姓名: 陈杰, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-04-08 18:26:33.149475 - batch - 学生ID: S0727, 姓名: 吴明, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-04-08 18:26:33.150854 - batch - 学生ID: S0386, 姓名: 马洋, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-04-08 18:26:33.152164 - batch - 学生ID: S0836, 姓名: 高平, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
2026-04-08 18:26:33.153316 - batch - 学生ID: S0837, 姓名: 李涛, 风险等级: 高风险, 风险因素: 挂科门数过多, 出勤率过低, 缺勤次数过多, 选课数量过多
